# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2242482272
# output
#   file = bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta1,theta2
# Adaptation terminated
# Step size = 0.401316
# Diagonal elements of inverse mass matrix:
# 1.72816, 2.17571
-11.7202,0.985559,0.401316,3,7,0,12.5514,0.0363182,0.185719
-11.2058,0.863442,0.401316,1,3,0,13.2813,0.0509393,0.478636
-12.0741,0.855653,0.401316,3,7,0,13.3766,0.0184269,0.463824
-11.7347,0.999949,0.401316,3,7,0,12.2575,0.0270498,0.213126
-10.3442,0.988287,0.401316,2,7,0,12.0863,0.083069,0.263631
-10.7505,0.954355,0.401316,2,3,0,10.8625,0.090445,0.191996
-10.4203,1,0.401316,1,1,0,10.7297,0.100957,0.217211
-9.49478,0.984787,0.401316,2,7,0,10.5081,0.220266,0.275825
-11.5037,0.93911,0.401316,2,7,0,12.5414,0.649035,0.196678
-16.2057,0.199611,0.401316,3,15,0,16.695,0.000317778,0.477704
-10.0137,1,0.401316,3,7,0,16.4269,0.111345,0.364152
-10.121,0.985733,0.401316,2,7,0,11.4771,0.558695,0.153696
-11.2167,0.69622,0.401316,1,1,0,11.2685,0.651068,0.156289
-11.7373,0.933224,0.401316,2,3,0,11.9833,0.263729,0.0561834
-10.2601,0.988617,0.401316,2,3,0,11.8349,0.345648,0.428928
-11.77,0.381158,0.401316,2,7,0,12.8532,0.538313,0.378324
-11.3311,1,0.401316,3,11,0,12.7015,0.0335948,0.239466
-10.6294,0.982633,0.401316,2,7,0,12.5109,0.425621,0.406744
-10.3711,1,0.401316,1,1,0,10.9167,0.442871,0.366197
-12.2073,0.280242,0.401316,3,11,0,14.1828,0.0113047,0.282047
-9.37729,0.884345,0.401316,2,7,0,13.9528,0.317355,0.275402
-9.96917,0.880059,0.401316,1,3,0,10.0106,0.379342,0.372663
-9.60436,1,0.401316,1,1,0,9.88709,0.336988,0.341902
-10.2366,0.915153,0.401316,3,9,0,11.4247,0.182413,0.46821
-9.36975,0.965,0.401316,2,7,0,11.5572,0.320588,0.26345
-9.44394,0.990796,0.401316,2,7,0,9.55551,0.390034,0.250306
-9.52099,0.944645,0.401316,2,3,0,9.78064,0.43139,0.22195
-9.54281,0.994066,0.401316,1,1,0,9.56318,0.436869,0.223993
-9.93807,0.907014,0.401316,2,3,0,9.96895,0.295301,0.139853
-10.6724,0.998188,0.401316,2,3,0,10.9287,0.172555,0.515789
-9.95183,0.815828,0.401316,2,3,0,12.0378,0.177284,0.42456
-9.46876,1,0.401316,2,3,0,9.95469,0.255841,0.240326
-9.46293,0.918573,0.401316,2,3,0,10.3187,0.237329,0.31436
-10.0014,0.963532,0.401316,2,7,0,10.6523,0.542503,0.138423
-10.2182,0.92845,0.401316,1,3,0,10.8399,0.453253,0.0722769
-10.1194,0.977531,0.401316,3,7,0,11.5259,0.118751,0.411584
-10.0952,0.993997,0.401316,3,11,0,10.3364,0.0970474,0.343106
-9.76889,0.986794,0.401316,4,15,0,10.1402,0.401028,0.122897
-9.60647,0.995639,0.401316,2,3,0,9.80017,0.447954,0.155537
-9.63036,0.899318,0.401316,1,3,0,10.4161,0.291539,0.179903
-10.6272,0.86159,0.401316,1,3,0,10.8453,0.266505,0.101337
-12.8017,0.619196,0.401316,1,3,0,13.019,0.195949,0.0504203
-9.73867,0.333339,0.401316,2,3,0,14.3827,0.479182,0.134506
-9.52452,0.99347,0.401316,2,3,0,9.78891,0.436656,0.191224
-9.85127,0.854618,0.401316,2,3,0,10.5212,0.515845,0.175567
-10.6761,0.782785,0.401316,2,3,0,11.4804,0.351776,0.068278
-10.965,1,0.401316,2,7,0,11.8857,0.457494,0.0351774
-9.56634,0.915705,0.401316,3,11,0,11.5592,0.44769,0.175142
-10.3504,0.924597,0.401316,2,3,0,10.4555,0.487101,0.0613312
-9.53686,0.922987,0.401316,2,7,0,11.503,0.264229,0.351045
-10.0826,0.697737,0.401316,2,3,0,11.815,0.153727,0.206988
-12.9843,0.619347,0.401316,2,5,0,15.5425,0.69986,0.0114357
-9.37071,0.979957,0.401316,3,7,0,12.516,0.315126,0.249989
-10.058,0.903595,0.401316,2,7,0,10.725,0.246849,0.444665
-9.5395,0.344579,0.401316,2,3,0,13.9544,0.199703,0.298142
-9.51124,0.950899,0.401316,3,7,0,9.9071,0.212945,0.316764
-9.66788,0.847751,0.401316,3,11,0,11.3198,0.31898,0.161617
-9.78317,0.957605,0.401316,2,3,0,10.3383,0.234278,0.40496
-9.59739,1,0.401316,2,3,0,9.78195,0.203952,0.353011
-11.125,0.895218,0.401316,3,7,0,11.8892,0.0324103,0.30376
-10.9285,0.916692,0.401316,1,3,0,12.1572,0.0616752,0.213468
-11.115,0.936017,0.401316,3,7,0,12.2846,0.0331317,0.368648
-10.4297,0.997336,0.401316,3,7,0,11.225,0.562138,0.223054
-9.86395,0.812739,0.401316,2,3,0,11.5538,0.452811,0.105893
-9.66178,0.998942,0.401316,3,7,0,9.89263,0.475777,0.164145
-9.51943,0.823952,0.401316,3,15,0,10.9179,0.367404,0.301629
-9.57231,0.998695,0.401316,2,7,0,9.72032,0.398133,0.155441
-11.1479,0.82661,0.401316,2,7,0,11.9798,0.0509194,0.470171
-11.278,0.988221,0.401316,2,3,0,11.4008,0.051343,0.489442
-13.0544,0.992574,0.401316,3,7,0,13.1362,0.0086131,0.19336
-13.3061,0.984872,0.401316,1,1,0,13.4018,0.00734266,0.185092
-13.0292,1,0.401316,2,3,0,13.4984,0.00755139,0.475374
-9.7327,0.985556,0.401316,3,11,0,12.0376,0.483609,0.212074
-9.84924,0.926551,0.401316,3,7,0,10.6822,0.516462,0.146921
-9.92371,0.987755,0.401316,2,3,0,10.1364,0.491514,0.102737
-9.92006,1,0.401316,1,1,0,9.94552,0.485787,0.10185
-9.41133,0.886282,0.401316,2,3,0,10.8259,0.315718,0.220511
-9.59851,0.971156,0.401316,2,7,0,10.3766,0.226949,0.3643
-10.076,0.841867,0.401316,3,7,0,10.6145,0.378594,0.0976022
-11.2457,0.815529,0.401316,2,3,0,11.7335,0.545993,0.331794
-10.69,1,0.401316,3,9,0,11.5635,0.0703509,0.228234
-10.9896,0.788756,0.401316,2,3,0,13.168,0.0555882,0.218393
-11.4746,0.966131,0.401316,3,7,0,11.5533,0.0598351,0.166325
-11.1713,0.941997,0.401316,2,3,0,12.5947,0.106056,0.146852
-11.1996,0.981596,0.401316,2,3,0,11.4418,0.141617,0.558676
-11.1996,0.650233,0.401316,1,1,0,12.461,0.141617,0.558676
-9.52841,1,0.401316,2,7,0,11.3964,0.309248,0.19006
-9.96313,0.989347,0.401316,2,7,0,10.318,0.159387,0.417668
-9.70207,0.997437,0.401316,2,7,0,10.4339,0.482367,0.151746
